year,performing_country,total_score,place,str,switzerland,denmark,france,germany,netherlands,austria,italy,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,israel,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,romania,slovakia,lithuania,hungary,russia,poland,macedonia,latvia,ukraine
2002,croatia,44,11,final,5,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,12,2,0,0,0,0,0,0,0,0,5,0,0
2002,russia,55,10,final,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,1,2,0,5,0,0,0,0,10,10,0,6,0,0,0,0,10,0
2002,estonia,111,3,final,0,8,0,4,0,3,0,7,4,12,0,10,0,0,0,2,2,0,8,0,0,6,10,5,0,2,0,7,0,3,0,6,12,0
2002,macedonia,25,19,final,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,4,0,12,0,0,0,0,0,0,0,0
2002,israel,37,12,final,1,1,10,5,0,0,0,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0
2002,switzerland,15,22,final,0,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0
2002,sweden,72,8,final,0,10,0,0,0,4,0,1,1,0,0,7,0,0,0,0,3,1,4,0,0,7,12,0,8,0,0,10,0,0,0,0,4,0
2002,finland,24,20,final,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,1,0,0
2002,denmark,7,24,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,bosnia_and_herzegovina,33,13,final,0,2,0,0,0,7,0,0,0,6,0,0,3,0,0,3,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,3,0,0
2002,belgium,33,13,final,0,4,2,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0
2002,france,104,5,final,10,5,0,6,0,0,0,10,10,8,0,12,8,0,0,0,7,3,0,0,0,3,8,0,3,4,0,5,0,0,0,0,2,0
2002,germany,17,21,final,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
2002,turkey,29,16,final,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,8,0,0
2002,malta,164,2,final,4,12,6,10,0,8,0,12,7,4,0,2,10,0,0,0,10,6,5,10,0,10,4,12,7,0,0,3,0,5,0,10,7,0
2002,romania,71,9,final,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,6,8,8,7,8,0,0,0,0,0,0,0,0,0,12,0,12,0,0
2002,slovenia,33,13,final,2,0,5,0,0,2,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,0,0
2002,latvia,176,1,final,8,7,8,12,0,10,0,8,8,5,0,6,12,0,0,7,12,10,6,4,0,5,5,2,12,0,0,12,0,10,0,7,0,0
2002,lithuania,12,23,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,6,0
2003,iceland,81,8,final,0,0,1,1,6,0,0,0,3,7,12,0,0,0,7,12,0,0,8,5,0,4,0,6,1,0,0,0,0,0,1,0,3,4
2003,austria,101,6,final,0,0,0,2,8,0,0,8,2,6,8,0,8,10,0,0,0,2,6,4,10,7,5,5,6,0,0,0,0,0,0,0,4,0
2003,ireland,53,11,final,0,0,0,0,0,0,0,12,1,0,6,0,0,7,0,5,0,0,5,7,2,2,0,4,0,0,0,0,0,0,0,0,1,1
2003,turkey,167,1,final,0,0,10,10,12,12,0,7,12,8,10,0,3,8,0,4,7,7,0,8,3,10,12,10,0,10,0,0,0,0,2,0,0,2
2003,malta,4,25,final,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,bosnia_and_herzegovina,27,16,final,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2003,portugal,13,22,final,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2003,croatia,29,15,final,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,1,3,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0
2003,cyprus,15,20,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,germany,53,11,final,0,0,0,0,2,1,0,4,0,10,0,0,4,0,4,3,0,0,0,0,8,0,0,0,2,1,0,0,0,7,5,0,2,0
2003,russia,164,3,final,0,0,7,8,1,8,0,0,7,2,2,0,6,4,0,1,10,10,10,10,4,12,3,12,12,7,0,0,0,0,4,0,12,12
2003,spain,81,8,final,0,0,0,0,5,0,0,0,10,4,0,0,0,12,0,0,12,5,2,6,6,1,0,7,0,5,0,0,0,6,0,0,0,0
2003,israel,17,19,final,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2003,netherlands,45,13,final,0,0,0,0,0,0,0,1,8,5,5,0,0,0,5,7,2,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0
2003,united_kingdom,0,26,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,ukraine,30,14,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,8,10,0,5,0
2003,greece,25,17,final,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,12,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2003,norway,123,4,final,0,0,3,7,7,2,0,6,6,12,0,0,0,5,12,6,3,0,0,0,12,5,0,0,10,3,0,0,0,4,6,0,7,7
