year,table_label,country,broadcaster,channel_s,commentator_s,broadcaster_8,broadcaster_21,show_s,country_territory,ref_s
1958,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSR, Radio Genève",Georges Hardy,NA,NA,NA,NA,NA
1958,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Monte Ceneri,,NA,NA,NA,NA,NA
1958,broadcasts | Broadcasts [2],Monaco,Télé Monte-Carlo,Télé Monte-Carlo,,NA,NA,NA,NA,NA
1958,broadcasts | Broadcasts [2],United Kingdom,BBC,BBC Television Service,Peter Haigh,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Belgium,NIR/INR,NIR,Paula Sémer,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Belgium,NIR/INR,INR,Paule Herreman,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Denmark,DR,"Danmarks Radio TV, Program 2",Sejr Volmer-Sørensen,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],France,RTF,RTF,Claude Darget,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],France,RTF,France II,,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Germany,ARD,Deutsches Fernsehen,Elena Gerhardt,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Italy,RAI,"RAI Televisione, Secondo Programma",Renato Tagliani,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Monaco,Radio Monte-Carlo,Radio Monte-Carlo,,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Netherlands,NTS,NTS,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Netherlands,VARA,Hilversum 1,Aad Bos,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Netherlands,RNW,RNW,,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Sweden,SR,"Sveriges TV, SR P1",Jan Gabrielsson,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TV DRS, Radio Bern",,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSR, Radio Genève",,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSI, Radio Monte Ceneri",,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [1],United Kingdom,BBC,BBC Television Service,Tom Sloan,NA,NA,NA,NA,NA
1959,broadcasts | Broadcasts [2],Luxembourg,CLT,Télé-Luxembourg,NA,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Belgium,NIR/INR,INR,Pierre Tchernia,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Belgium,NIR/INR,NIR,Nic Bal,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Denmark,DR,"Danmarks Radio TV, Program 2",Sejr Volmer-Sørensen,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],France,RTF,RTF,Pierre Tchernia,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Germany,ARD,Deutsches Fernsehen,Wolf Mittler,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Italy,RAI,"RAI Televisione, Secondo Programma",Giorgio Porro,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Luxembourg,CLT,Télé-Luxembourg,,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Netherlands,NTS,NTS,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Netherlands,KRO,Hilversum 2,,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Norway,NRK,"NRK Fjernsynet, NRK",Erik Diesen,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Sweden,SR,"Sveriges TV, SR P2",Jan Gabrielsson,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TV DRS, Radio Beromünster",Theodor Haller,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSR, Radio Sottens",,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"TSI, Radio Monte Ceneri",,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [1],United Kingdom,BBC,BBC Television Service,David Jacobs,NA,NA,NA,NA,NA
1960,broadcasts | Broadcasts [2],Finland,YLE,Suomen Televisio,Aarno Walli,NA,NA,NA,NA,NA
